"지역별(1)","산업별(10차)중분류별(1)",2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022
"지역별(1)","산업별(10차)중분류별(1)",전체기업,중소기업,중소기업,중소기업,중소기업,중소기업,중소기업 외,전체기업,중소기업,중소기업,중소기업,중소기업,중소기업,중소기업 외,전체기업,중소기업,중소기업,중소기업,중소기업,중소기업,중소기업 외,전체기업,중소기업,중소기업,중소기업,중소기업,중소기업,중소기업 외
"지역별(1)","산업별(10차)중분류별(1)",소계,소계,소기업,소기업,소기업,중기업,소계,소계,소계,소기업,소기업,소기업,중기업,소계,소계,소계,소기업,소기업,소기업,중기업,소계,소계,소계,소기업,소기업,소기업,중기업,소계
"지역별(1)","산업별(10차)중분류별(1)",소계,소계,소계,소상공인,소상공인 제외,소계,소계,소계,소계,소계,소상공인,소상공인 제외,소계,소계,소계,소계,소계,소상공인,소상공인 제외,소계,소계,소계,소계,소계,소상공인,소상공인 제외,소계,소계
"서울","전산업",24459448,6832028,3223426,2241634,981792,3608602,17627420,24597052,6737729,3150515,2210852,939663,3587215,17859323,27900369,7540981,3448261,2435758,1012503,4092719,20359389,33725862,8229656,3668981,2626422,1042559,4560675,25496206
"서울","A.농업, 임업 및 어업(01~03)",*,3415,1254,734,520,2161,*,*,3093,1250,947,303,1843,*,*,3744,1471,1023,448,2272,*,*,*,1326,1051,274,*,*
"서울","B.광업(05~08)",*,*,468,121,347,*,*,*,2485,347,63,283,2138,*,*,2747,314,91,223,2433,*,*,*,288,79,209,*,*
"서울","C.제조업(10~34)",5980099,796354,373874,233255,140619,422480,5183745,5303869,638529,305709,194811,110899,332819,4665340,6451463,695876,336888,217592,119296,358989,5755587,7767332,749269,354514,232202,122312,394755,7018063
"서울","D.전기, 가스, 증기 및 공기 조절 공급업(35)",99862,3502,1327,1032,295,2175,96360,88958,3508,1533,1195,339,1974,85450,102747,3522,1533,1112,421,1988,99225,157637,4283,2172,1780,392,2111,153354
"서울","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",*,*,3707,940,2767,*,*,*,11234,3772,921,2851,7462,*,*,12463,4011,1145,2866,8452,*,15418,12305,3874,1232,2642,8431,3113
"서울","F.건설업(41~42)",1517495,671818,323815,198411,125404,348003,845676,1522894,636959,311751,196765,114987,325207,885935,1784415,686881,339871,221559,118312,347010,1097534,2041999,744376,357269,233577,123692,387106,1297623
"서울","G.도매 및 소매업(45~47)",5999313,2749609,1216000,926650,289350,1533609,3249703,6077171,2797566,1213100,929237,283863,1584466,3279605,6956390,3081302,1288193,989913,298280,1793109,3875088,7893618,3282304,1326932,1032086,294846,1955372,4611315
"서울","H.운수 및 창고업(49~52)",1074843,258686,139381,104081,35300,119305,816156,996269,269503,140266,103575,36691,129237,726766,1403326,347931,154748,118456,36292,193183,1055394,1826908,400282,166063,130922,35141,234219,1426626
"서울","I.숙박 및 음식점업(55~56)",582983,329307,232394,185254,47140,96912,253677,478463,284594,214484,177083,37401,70110,193869,520262,300830,223910,185229,38681,76920,219432,642706,378981,272371,225354,47016,106610,263726
"서울","J.정보통신업(58~63)",1280426,446144,197104,76612,120491,249041,834282,1346500,473327,211493,81308,130184,261834,873173,1604925,558016,245634,94853,150781,312383,1046909,1738198,637908,263867,104146,159721,374040,1100290
"서울","K.금융 및 보험업(64~66)",5614510,197376,115662,89289,26373,81714,5417133,6503601,223120,130132,100151,29981,92987,6280481,6447265,261964,161083,125298,35785,100880,6185301,8743575,289745,184457,152159,32298,105288,8453830
"서울","L.부동산업(68)",707639,329641,171025,147954,23072,158616,377998,642937,374768,181240,156651,24588,193528,268169,760992,417057,194031,168505,25527,223025,343935,769506,397363,189861,163997,25863,207502,372143
"서울","M.전문, 과학 및 기술 서비스업(70~73)",685562,421421,203155,106500,96655,218266,264141,754502,459552,217675,113955,103720,241878,294949,860983,542827,252090,136397,115693,290738,318156,949426,606467,268239,148079,120160,338228,342959
"서울","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",463091,240504,69924,35214,34711,170579,222587,447032,209240,59866,30974,28892,149374,237793,514914,226412,69109,36420,32688,157303,288502,630446,259954,81019,42276,38744,178934,370492
"서울","P.교육 서비스업(85)",100023,70396,36377,31583,4794,34019,29627,94565,66909,32576,28164,4412,34333,27656,114798,80922,41061,35593,5467,39862,33876,130354,89401,44953,39495,5458,44449,40953
"서울","Q.보건업 및 사회복지 서비스업(86~87)",181576,177888,62836,41782,21054,115052,3688,186286,178823,58715,39247,19468,120108,7463,208497,201243,62398,42526,19872,138845,7254,234614,228424,66099,46256,19843,162325,6190
"서울","R.예술, 스포츠 및 여가관련 서비스업(90~91)",73714,51697,36247,29888,6359,15450,22017,55887,39617,29261,24510,4752,10355,16270,68477,49959,32823,26932,5891,17136,18518,82637,64079,43047,35056,7991,21032,18557
"서울","S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",75434,69647,38873,32332,6542,30773,5787,74543,64904,37345,31295,6050,27559,9639,75527,67285,39093,33114,5980,28191,8242,86806,76849,42631,36675,5956,34218,9957
"부산","전산업",2418963,1662363,936750,652114,284635,725614,756600,2338907,1623124,928857,648487,280370,694267,715783,2618787,1821325,1014289,715725,298565,807036,797461,2980421,2005663,1093399,780969,312430,912264,974759
"부산","A.농업, 임업 및 어업(01~03)",7315,7315,3828,1236,2591,3487,-,*,7274,3480,1234,2246,3794,*,*,8868,3699,1240,2459,5169,*,*,9822,*,1375,*,*,*
"부산","B.광업(05~08)",1356,1356,*,*,*,*,-,140,140,*,63,*,*,-,204,204,*,69,*,*,-,252,252,*,109,*,*,-
"부산","C.제조업(10~34)",631188,386303,220010,114006,106004,166292,244885,566647,361365,204151,103727,100424,157214,205282,636615,401598,223289,116058,107231,178309,235017,733856,445809,245299,128043,117257,200510,288047
"부산","D.전기, 가스, 증기 및 공기 조절 공급업(35)",62750,1918,584,407,177,1334,60832,51301,1260,*,336,*,*,50041,68308,1379,*,335,*,*,66929,109411,2128,765,550,216,1363,107283
"부산","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",*,9008,*,*,*,*,*,*,8405,2794,1043,1751,5611,*,*,9351,3181,1310,1871,6170,*,9919,9919,3188,1332,1855,6731,-
"부산","F.건설업(41~42)",251580,176367,99943,60373,39570,76424,75213,240232,169781,98258,59320,38938,71523,70451,253729,180110,107202,67068,40134,72908,73618,263720,188653,113571,72920,40650,75082,75067
